"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077069","BSU00010","NP_387882.1","chromosomal replication initiation protein","58531","Escherichia coli 536","110644045","ECP_3903","WP_000059111.1","chromosomal replication initiator protein DnaA","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077070","BSU00020","NP_387883.1","DNA polymerase III subunit beta","58531","Escherichia coli 536","110644044","ECP_3902","WP_000673464.1","DNA polymerase III subunit beta","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077072","BSU00040","NP_387885.1","recombination protein F","58531","Escherichia coli 536","110644043","ECP_3901","WP_000060117.1","recombination protein F","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077074","BSU00060","NP_387887.1","DNA gyrase subunit B","58531","Escherichia coli 536","110644042","ECP_3900","WP_001298010.1","DNA gyrase subunit B","1","BSU18090[DNA topoisomerase IV subunit B]","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077075","BSU00070","NP_387888.1","DNA gyrase subunit A","58531","Escherichia coli 536","110642439","ECP_2274","WP_001281242.1","DNA gyrase subunit A","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077077","BSU00090","NP_387890.1","inosine 5'-monophosphate dehydrogenase","58531","Escherichia coli 536","110642670","ECP_2510","WP_001296289.1","inosine 5'-monophosphate dehydrogenase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077081","BSU00130","NP_387894.1","seryl-tRNA synthetase","58531","Escherichia coli 536","110641093","ECP_0907","WP_000886683.1","seryl-tRNA synthetase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077086","BSU00180","NP_387899.1","tRNA specific adenosine deaminase","58531","Escherichia coli 536","110642721","ECP_2561","WP_001301544.1","tRNA-specific adenosine deaminase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767015","BSU00190","NP_387900.2","DNA polymerase III subunits gamma and tau","58531","Escherichia coli 536","110640731","ECP_0531","WP_000122025.1","DNA polymerase III subunits gamma and tau","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077089","BSU00210","NP_387902.1","recombination protein RecR","58531","Escherichia coli 536","110640733","ECP_0533","WP_001195030.1","recombination protein RecR","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077095","BSU00270","NP_387908.1","lysine decarboxylase","58531","Escherichia coli 536","110644490","ECP_4375","WP_011579305.1","lysine decarboxylase, inducible","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077095","BSU00270","NP_387908.1","lysine decarboxylase","58531","Escherichia coli 536","110640910","ECP_0711","WP_001362902.1","ornithine decarboxylase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077095","BSU00270","NP_387908.1","lysine decarboxylase","58531","Escherichia coli 536","110640405","ECP_0194","WP_001020992.1","lysine decarboxylase, constitutive","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077095","BSU00270","NP_387908.1","lysine decarboxylase","58531","Escherichia coli 536","110643114","ECP_2959","WP_000839777.1","ornithine decarboxylase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077095","BSU00270","NP_387908.1","lysine decarboxylase","58531","Escherichia coli 536","110644475","ECP_4360","WP_000978670.1","biodegradative arginine decarboxylase","4","","ECP_2959[ornithine decarboxylase];ECP_0194[lysine decarboxylase, constitutive];ECP_0711[ornithine decarboxylase];ECP_4375[lysine decarboxylase, inducible]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767017","BSU00280","NP_387909.2","thymidylate kinase","58531","Escherichia coli 536","110641274","ECP_1090","WP_001257002.1","thymidylate kinase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077103","BSU00350","NP_387916.1","GIY-YIG nuclease superfamily protein","58531","Escherichia coli 536","110643396","ECP_3243","WP_000189322.1","GIY-YIG nuclease superfamily protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077104","BSU00360","NP_387917.1","methyltransferase","58531","Escherichia coli 536","110643387","ECP_3234","WP_000809263.1","putative tetrapyrrole methylase","","","","SSD"
